Tiêu đề,Giá,Diện tích,Địa chỉ,Link chi tiết
Chính chủ cần bán nhà ngay công viên D9. Tây Thạnh. Tân Phú. 4x10,3.78 tỷ,40 m²,"Đường D9, Phường Tây Thạnh, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-nha-ngay-cong-vien-d9-tay-thanh-tan-phu-4x10-nb618054.html
Chính chủ cần bán nhà mặt tiền đường ngay chợ Tân Hương,12 tỷ,104 m²,"4, Đường Đỗ Thị Tâm, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-nha-mat-tien-duong-ngay-cho-tan-huong-nb617889.html
"Bán nhà hẻm vip 7m 143/63 Gò Dầu gần Tân Sơn Nhì, Tân Phú",6.45 tỷ,40 m²,"79/6/8, Đường Phú Thọ Hoà, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-hem-vip-7m-14363-go-dau-gan-tan-son-nhi-tan-phu-nb617877.html
Bán nhà 2 mặt tiền chính chủ số 101-103 đường Tân Hương Quận Tân Phú9,39.9 tỷ,176 m²,"101 - 103, Đường Tân Hương, Phường Tân Sơn Nhì, Quận Tân Phú",https://nhabansg.vn/ban-nha-2-mat-tien-chinh-chu-so-101-103-duong-tan-huong-quan-tan-phu9-nb617874.html
"Chính chủ Bán nhà 301/8 kênh tân hóa, hòa thạnh, Quận  Tân Phú",10 tỷ,265 m²,"301/8, Đường Kênh Tân Hóa, Phường Hòa Thạnh, Quận Tân Phú",https://nhabansg.vn/chinh-chu-ban-nha-3018-kenh-tan-hoa-hoa-thanh-quan-tan-phu-nb617870.html
"Bán nhà mặt tiền số 20, đường B4, Tây Thạnh, Tân Phú",4.5 tỷ,32 m²,"20, Đường B4, Phường Tây Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-nha-mat-tien-so-20-duong-b4-tay-thanh-tan-phu-nb617832.html
"Nhà HXH 6m 81/1A Lương Thế Vinh, Tân Thới Hòa - QUẬN TÂN PHÚ",15 tỷ,126 m²,"81/1A, Đường Lương Thế Vinh, Phường Tân Thới Hòa, Quận Tân Phú",https://nhabansg.vn/nha-hxh-6m-811a-luong-the-vinh-tan-thoi-hoa-quan-tan-phu-nb617703.html
Nhà chính chủ giá chỉ 115 triệu/m nhà 3 tầng ngay trung tâm Quận Tân Phú,16.5 tỷ,143 m²,"Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú",https://nhabansg.vn/nha-chinh-chu-gia-chi-115-trieum-nha-3-tang-ngay-trung-tam-quan-tan-phu-nb617611.html
"Bán Nhà 703/22 Lê Trong Tấn,4-14M2 4Lầu 5Pn,6.05ty. kế công viên hẻm8m",6.05 tỷ,56 m²,"703/22, Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-nha-70322-le-trong-tan4-14m2-4lau-5pn605ty-ke-cong-vien-hem8m-nb617381.html
Mua bán căn hộ Celadon city T2/2026,,71 m²,"Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/mua-ban-can-ho-celadon-city-t22026-nb617036.html
"Nhà bán 266/26/11 Phú Thọ Hòa, SHR, BTCT. Hẻm cụt 5m. Hướng Nam.",6.85 tỷ,64.5 m²,"Bán 266/26/11 Phú Thọ Hoà, Phường Phú Thọ Hoà, Quận Tân Phú, TP.Hồ Chí Minh.",https://nhabansg.vn/nha-ban-2662611-phu-tho-hoa-hem-6m-dt645m2-btct-dt-san1875m2-nb597291.html
Bán nhà Lỹ Bán Bích HH 150tr,10.1 tỷ,68 m²,"Lỹ Bán Bích, Phường Phú Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-nha-ly-ban-bich-hh-150tr-nb616973.html
"Nhà bán MT 244 Phan Anh,Hiệp Tân, Tân Phú 4*25,1 lầu",15.9 tỷ,100 m²,"Đường Phan Anh, Phường Hiệp Tân, Quận Tân Phú",https://nhabansg.vn/nha-ban-mt-244-phan-anhhiep-tan-tan-phu-4251-lau-nb616956.html
NHÀ ĐẸP Ở LIỀN-ĐÚC BÊ TÔNG. Địa chỉ : 29/24/14 đường số 18 phường Tân,3.25 tỷ,24.9 m²,"Số 18, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/nha-dep-o-lien-duc-be-tong-dia-chi-292414-duong-so-18-phuong-tan-nb616912.html
Chính Chủ Bán nhà mới xây 8x18 Trống suốt - Đường 10m - Quận  Tân phú,16.5 tỷ,144 m²,"1/15, Đường Phạm Quý Thích, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/chinh-chu-ban-nha-moi-xay-8x18-trong-suot-duong-10m-q-tan-phu-nb616911.html
BÁN NHÀ Đ/C 179/33 LÊ ĐÌNH THÁM 4X11 - 3 TẦNG - CHÍNH CHỦ - GIÁ TỐT,5.5 tỷ,44 m²,"Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú",https://nhabansg.vn/ban-nha-dc-17933-le-dinh-tham-4x11-3-tang-chinh-chu-gia-tot-nb616891.html
"Bán nhà 120/1/2 trệt lầu 93,6m2 Lũy Bán Bích, Tân Phú",8.5 tỷ,81 m²,"120/1/2, Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-12012-tret-lau-936m2-luy-ban-bich-tan-phu-nb616884.html
"cần bán, nhà sổ hồng riêng,giá hợp lí",4.65 tỷ,48 m²,"Đường Lê Đình Thám, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/can-ban-nha-so-hong-rienggia-hop-li-nb616585.html
Cần Bán Nhà Khu Nội Bộ Tô Hiệu,9 tỷ,80 m²,"Hẻm 149 Lý Thánh Tông, Phường Tân Thới Hòa, Quận Tân Phú",https://nhabansg.vn/can-ban-nha-khu-noi-bo-to-hieu-nb616577.html
Bán nhà bán âu cơ chính chủ có 5p 64m2 hẻm 5m,7.2 tỷ,64 m²,"Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú",https://nhabansg.vn/ban-nha-ban-au-co-chinh-chu-co-5p-64m2-hem-5m-nb616576.html
bán MT nội bộ đường Hiền Vương. Dt 8m x 23m. Nhà cấp 4 Quận Tân Phú,16.5 tỷ,160 m²,"Đường Hiền Vương, Phường Phú Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-mt-noi-bo-duong-hien-vuong-dt-8m-x-23m-nha-cap-4-quan-tan-phu-nb616531.html
Chính chủ cần bán Biệt thự giá 17.2 tỷ,17.2 tỷ,128 m²,"Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-biet-thu-gia-172-ty-nb616511.html
"bán gấp  ,Aeon Tân Thắng , hẻm thông 12m ,lề 3m ,chỉ 7 ty 6 Quận  Tân Phú",7.6 tỷ,60 m²,"Đường Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/ban-gap-aeon-tan-thang-hem-thong-12m-le-3m-chi-7-ty-6-q-tan-phu-nb616504.html
"Chính Chủ bán nhà đất  549/26 Đường Tân Kỳ Tân Quý, Tân Quý, Tân Phú",18 tỷ,188 m²,"549/26 , Đường Tân Kỳ Tân Quý, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/chinh-chu-ban-nha-dat-54926-duong-tan-ky-tan-quy-tan-quy-tan-phu-nb616407.html
Bán nhà chính chủ hẻm Hoà Bình,5.5 tỷ,38.2 m²,"273/32/21, Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú",https://nhabansg.vn/ban-nha-chinh-chu-hem-hoa-binh-nb616346.html
"Bán Nhà Đầu Tư Tại Phường Tân Sơn Nhì, Quận Tân Phú",23 tỷ,220 m²,"108, Trần Tấn, Phường Tân Sơn Nhì, Quận Tân Phú",https://nhabansg.vn/ban-nha-dau-tu-tai-phuong-tan-son-nhi-quan-tan-phu-nb616283.html
BÁN NHÀ 56/24 TRẦN HƯNG ĐẠO.DIỆN TÍCH 4x13M. 3 LẦU . Quận Tân Phú,7.99 tỷ,52 m²,"56/24 , Đường Trần Hưng Đạo, Phường Tân Sơn Nhì, Quận Tân Phú",https://nhabansg.vn/ban-nha-5624-tran-hung-daodien-tich-4x13m-3-lau-quan-tan-phu-nb616278.html
"Bán nhà 94/5/13 Phú Thọ Hòa.Tân Phú.diện tích 4,1m×6,3m.diện tíchSD 25,5m.1 Lầu.2PN",3.2 tỷ,26 m²,"93/3/15, Đường Phú Thọ Hoà, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-94513-phu-tho-hoatan-phudt-41m63mdtsd-255m1-lau2pn-nb616226.html
bán nhà mặt tiền Nguyễn lộ trạch tân Phú,7.1 tỷ,83 m²,"Đường Nguyễn Lộ Trạch, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/ban-nha-mat-tien-nguyen-lo-trach-tan-phu-nb616204.html
mình chính chủ bán nhà tân sơn nhì,5.75 tỷ,32 m²,"27/14/15/9, Đường Nguyễn Văn Săng, Phường Tân Sơn Nhì, Quận Tân Phú",https://nhabansg.vn/minh-chinh-chu-ban-nha-tan-son-nhi-nb616200.html
"Chính chủ bán nhà 79/6/8 Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú",6.8 tỷ,57 m²,"79/6/8, Đường Phú Thọ Hoà, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/chinh-chu-ban-nha-7968-phu-tho-hoa-phuong-phu-tho-hoa-quan-tan-phu-nb616195.html
"111/8/24 Vườn Lài, hai mặt hẻm rộng 6m, ngang 4m nở hậu 7m, 87m2, 8 tỷ",8 tỷ,87 m²,"111/8/24, Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/111824-vuon-lai-hai-mat-hem-rong-6m-ngang-4m-no-hau-7m-87m2-8-ty-nb616192.html
Hẻm xe hơi Trần Văn Ơn 1,7 tỷ,56.5 m²,"Đường Trần Văn Ơn, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/hem-xe-hoi-tran-van-on-1-nb616190.html
Bán nhà ngay Đại Học Thực Phẩm nhà đẹp 57m2 3 phòng ngủ giá rẻ Quận  Tân Phú,4.95 tỷ,57 m²,"Đường Đô Đốc Chấn, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/ban-nha-ngay-dai-hoc-thuc-pham-nha-dep-57m2-3-phong-ngu-gia-re-q-tan-phu-nb616189.html
Nhà bán đẹp Tân Phú,12.9 tỷ,84.5 m²,"Tây Sơn, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/nha-ban-dep-tan-phu-nb616176.html
Góc Bán Nhà 151/31/24A Quận Tân Phú.diện tích,1.05 tỷ,18 m²,"151/31/24A , Đường Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú",https://nhabansg.vn/goc-ban-nha-1513124a-quan-tan-phudt-nb616175.html
Bán nhà chính chủ 4 tầng.Nhà 4 tầng 1 sẹt Thoại Ngọc Hầu – phường Phú Thạn,12.35 tỷ,93 m²,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-nha-chinh-chu-4-tangnha-4-tang-1-set-thoai-ngoc-hau-phuong-phu-than-nb616174.html
Bán nhà MT chính chủ cần bán . Q . Tân Phú,6.5 tỷ,68 m²,"97, Lý Thánh Tông, Phường Tân Thới Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-mt-chinh-chu-can-ban-q-tan-phu-nb616166.html
SIêu Phẩm nhà Phố diện tích Ngang 13.8mx7- 4 Tầng-HXH Luỹ Bán Bích-Nhỉnh 9 TỶ Quận  Tân Phú,9.6 tỷ,86 m²,"710/, Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú",https://nhabansg.vn/sieu-pham-nha-pho-dt-ngang-138mx7-4-tang-hxh-luy-ban-bich-nhinh-9-ty-q-tan-phu-nb616116.html
bán nhà Kênh tân hoá .nhà mới 100/100,5.98 tỷ,48 m²,"Đường Kênh Tân Hóa, Phường Hòa Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-nha-kenh-tan-hoa-nha-moi-100100-nb616092.html
"Chính Chủ Cần Bán Gấp Nhà. Hẻm Xe Hơi Vào nhà được 4,5x14m 1 Lầu",6.8 tỷ,63 m²,"Đường Nguyễn Hữu Dật, Phường Tây Thạnh, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-gap-nha-hem-xe-hoi-vao-nha-duoc-45x14m-1-lau-nb616078.html
Bán biệt thự mini siêu đẹp 79/64 đường bờ bao Tân Thắng . eon tân phú,2.45 tỷ,20 m²,"79/64, Bờ Bao Tân Thắng, Phường Tân Sơn Nhì, Quận Tân Phú",https://nhabansg.vn/ban-biet-thu-mini-sieu-dep-7964-duong-bo-bao-tan-thang-eon-tan-phu-nb616071.html
gửi bán nhà Mặt Tiền KD Phan Anh Q Tân Phhs 8x30m. 4 tầng Quận  Tân Phú,24.5 tỷ,240 m²,"Đường Phan Anh, Phường Tân Thới Hòa, Quận Tân Phú",https://nhabansg.vn/gui-ban-nha-mat-tien-kd-phan-anh-q-tan-phhs-8x30m-4-tang-q-tan-phu-nb616036.html
"Chính chủ Bán Nhà  46A Hoàng xuân nhị, Phú trung , Q. Tân Phú",12.5 tỷ,100 m²,"46A Hoàng xuân nhị, Phú trung , Q. Tân Phú",https://nhabansg.vn/nha-ban-mtkd-46a-hoang-xuan-nhi-phu-trung-q-tan-phu-nb616023.html
"MTKD 46A Hoàng Xuân Nhị , Quận Tân Phú",13.5 tỷ,100 m²,"46A, Đường Hoàng Xuân Nhị, Phường Phú Trung, Quận Tân Phú",https://nhabansg.vn/mtkd-46a-hoang-xuan-nhi-quan-tan-phu-nb616019.html
bán gấp nhà 428/53 luỹ bán bích,5.75 tỷ,62 m²,"428/53 luỹ bán bích, Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-gap-nha-42853-luy-ban-bich-nb616015.html
Chính chủ cần bán nhà MT đường ngay Phan Đình Phùng nhà 3 lầu,11.3 tỷ,62 m²,"Phường Tân Thành, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-nha-mt-duong-ngay-phan-dinh-phung-nha-3-lau-nb615957.html
chính chủ cần bán nhà hẻm xe hơi,4.3 tỷ,35 m²,"Hẻm 35 Đỗ Thừa Luông, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/chinh-chu-can-ban-nha-hem-xe-hoi-nb615955.html
"Bán nhà mặt tiền Phú Thọ Hòa, Tân Phú – diện tích 67,53m² nở hậu – Giá 15 tỷ",15 tỷ,67.5 m²,"474, Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-mat-tien-phu-tho-hoa-tan-phu-dt-6753m-no-hau-gia-15-ty-nb615949.html
Bán nhà hẻm xe hơi Bình Long thông Thạch Lam,5.8 tỷ,48 m²,"Hẻm 152 Bình Long, Phường Phú Thạnh, Quận Tân Phú",https://nhabansg.vn/ban-nha-hem-xe-hoi-binh-long-thong-thach-lam-nb615941.html
"Bán nhà đường Tân Kỳ Tân Quý, P Tân Sơn Nhì, 4.6x11 giá 4.05 tỷ",4.05 tỷ,45.8 m²,"77/14C, Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú",https://nhabansg.vn/ban-nha-duong-tan-ky-tan-quy-p-tan-son-nhi-46x11-gia-405-ty-nb615861.html
cần bán nhà,2.8 tỷ,18 m²,"Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú",https://nhabansg.vn/can-ban-nha-nb615837.html
Nhà bán chính chủ sát chợ 4*18_4tầng:8.7ty TL Quận  Tân Phú,8.7 tỷ,72 m²,"Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/nha-ban-chinh-chu-sat-cho-418_4tang87ty-tl-q-tan-phu-nb615820.html
"Bán nhà góc chợ 2MT 264/5 Nguyễn Sơn, Tân Phú, 3 tầng, hướng Đông, 9.8 tỷ",9.8 tỷ,66 m²,"264/5, Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-goc-cho-2mt-2645-nguyen-son-tan-phu-3-tang-huong-dong-98-ty-nb615788.html
CẦN BÁN HOẶC CHO THUÊ CHỈ TIẾP KHÁCH THIỆN TRÍ Quận Tân Phú,6.5 tỷ,71.6 m²,"Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/can-ban-hoac-cho-thue-chi-tiep-khach-thien-tri-quan-tan-phu-nb615781.html
HOA HỒNG 1% ĐƯỜNG 12M CHẾ LAN VIÊN_5X15M_C4 Quận Tân Phú,9.19 tỷ,72 m²,"Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú",https://nhabansg.vn/hoa-hong-1-duong-12m-che-lan-vien_5x15m_c4-quan-tan-phu-nb615748.html
"HHMG1%] Bán nhà 36/5 Đô Đốc Chấn, Tân Phú, 5x12, 3PN, chỉ 4.95 tỷ TL",4.95 tỷ,60 m²,"Đường Đô Đốc Chấn, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/hhmg1-ban-nha-365-do-doc-chan-tan-phu-5x12-3pn-chi-495-ty-tl-nb615739.html
"Bán căn góc The Glen, vị trí đẹp nhất tại Celadon City mua từ Chủ ĐT",29 tỷ,440 m²,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/ban-can-goc-the-glen-vi-tri-dep-nhat-tai-celadon-city-mua-tu-chu-dt-nb615728.html
Bán nhà Mặt Tiền Đường Nguyễn Minh Châu Đối Diện Công Viên Quận Tân Phú,8.5 tỷ,69.1 m²,"Đường Nguyễn Minh Châu, Phường Phú Trung, Quận Tân Phú",https://nhabansg.vn/ban-nha-mat-tien-duong-nguyen-minh-chau-doi-dien-cong-vien-quan-tan-phu-nb615714.html
"HH 1% đủ) Bán nhà MT 14 Lê Thận, Q Tân Phú - 4x19m - 3 tầng",9.2 tỷ,76 m²,"14, Đường Lê Thận, Phường Hiệp Tân, Quận Tân Phú",https://nhabansg.vn/hh-1-du-ban-nha-mt-14-le-than-q-tan-phu-4x19m-3-tang-nb615592.html
NHÀ HÌNH L 66M2 1 LẦU CÁCH KÊNH TÂN HOÁ 20M,5.5 tỷ,66 m²,"Đường Kênh Tân Hóa, Phường Phú Trung, Quận Tân Phú",https://nhabansg.vn/nha-hinh-l-66m2-1-lau-cach-kenh-tan-hoa-20m-nb615582.html
"Bán nhà 168/58 Nguyễn Suý, Phường  Tân Quý, Quận Tân PHú  4pn giá 7.x tỷ",7.2 tỷ,51 m²,"168/58, Đường Nguyễn Súy, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/ban-nha-16858-nguyen-suy-p-tan-quy-quan-tan-phu-4pn-gia-7x-ty-nb615566.html
HÀNG MỚI VỀ – HOA HỒNG 1% NHẬN ĐỦ ? Quận  Tân Phú,15.95 tỷ,88 m²,"169, Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/hang-moi-ve-hoa-hong-1-nhan-du-q-tan-phu-nb615537.html
"Bán nhà HXH Tân Phú, 68m2, chỉ 4.x tỷ, ngang 4m, chính chủ lâu n",4.4 tỷ,68 m²,"Đường Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú",https://nhabansg.vn/ban-nha-hxh-tan-phu-68m2-chi-4x-ty-ngang-4m-chinh-chu-lau-n-nb615536.html
Bán Nhà 101/48/16 Gò Dầu,5.6 tỷ,45 m²,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú",https://nhabansg.vn/ban-nha-1014816-go-dau-nb615512.html
Nhà bán mới Tân Phú 2 mặt hẻm- Vị trí độc đáo,3.65 tỷ,21 m²,"Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú",https://nhabansg.vn/nha-ban-moi-tan-phu-2-mat-hem-vi-tri-doc-dao-nb615511.html
"cần bán căn nhà Hẻm Ôtô tránh, Đường Huỳnh Thiện Lộc- Tân ph",5.75 tỷ,32 m²,"Đường Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú",https://nhabansg.vn/can-ban-can-nha-hem-oto-tranh-duong-huynh-thien-loc-tan-ph-nb615500.html
Bán/Hồ Chí Minh/Tân Phú/Căn hộ chung cư tại Âu Cơ Tower Chính chủ gửi,3.15 tỷ,68 m²,Quận Tân Phú,https://nhabansg.vn/banho-chi-minhtan-phucan-ho-chung-cu-tai-au-co-tower-chinh-chu-gui-nb615486.html
"Tôi chính chủ Bán Lotus Garden, giá 3,35 tỷ, 70m2, 2Pn, tại Trịnh Đình",3.35 tỷ,70 m²,Quận Tân Phú,https://nhabansg.vn/toi-chinh-chu-ban-lotus-garden-gia-335-ty-70m2-2pn-tai-trinh-dinh-nb615479.html
Bán nhà 67/27 Nguyễn Văn Yến Quận  Tân Phú,3.75 tỷ,32 m²,"67/27, Đường Nguyễn Văn Yến, Phường Tân Thới Hòa, Quận Tân Phú",https://nhabansg.vn/ban-nha-6727-nguyen-van-yen-q-tan-phu-nb615469.html
